"","Created.Date","Agency","Agency.Name","Complaint.Type","Descriptor","Incident.Zip","Borough","Latitude","Longitude","year","month"
"1414751","08/02/2015 05:47:33 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10025","MANHATTAN",40.7950187736213,-73.9715008677615,2015,8
"1414772","08/02/2015 05:42:16 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10016","MANHATTAN",40.744906792889,-73.9782745245344,2015,8
"1414851","08/02/2015 05:14:39 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10025","MANHATTAN",40.7951421165433,-73.970821832956,2015,8
"1414867","08/02/2015 05:08:34 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10001","MANHATTAN",40.7490945412246,-74.00313631641,2015,8
"1414906","08/02/2015 04:58:51 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10001","MANHATTAN",40.744370292721,-73.988458885293,2015,8
"1415053","08/02/2015 04:17:27 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10014","MANHATTAN",40.7375527685549,-74.0056869717544,2015,8
"1415075","08/02/2015 04:09:37 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10007","MANHATTAN",40.7151279398029,-74.0084013331423,2015,8
"1415153","08/02/2015 03:45:46 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10001","MANHATTAN",40.7458939335738,-73.9920639488364,2015,8
"1415221","08/02/2015 03:23:32 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10025","MANHATTAN",40.7940317586759,-73.9763046466389,2015,8
"1415282","08/02/2015 03:05:03 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10023","MANHATTAN",40.7748437892817,-73.978679965836,2015,8
"1415315","08/02/2015 02:54:41 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10010","MANHATTAN",40.7413513102249,-73.9912128389992,2015,8
"1415528","08/02/2015 01:52:39 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10012","MANHATTAN",40.7254730394204,-73.9931523376506,2015,8
"1415618","08/02/2015 01:27:06 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10075","MANHATTAN",40.7723438252224,-73.9526861016243,2015,8
"1415740","08/02/2015 12:59:14 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10012","MANHATTAN",40.7308282585436,-74.0009128544788,2015,8
"1416098","08/02/2015 11:16:35 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10019","MANHATTAN",40.7643476191013,-73.977192421986,2015,8
"1416312","08/02/2015 10:11:15 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10007","MANHATTAN",40.7138352382523,-74.0072071868019,2015,8
"1416326","08/02/2015 10:07:09 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10028","MANHATTAN",40.779497764798,-73.9555840679452,2015,8
"1416386","08/02/2015 09:46:48 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10016","MANHATTAN",40.7461036447303,-73.9790356222365,2015,8
"1416519","08/02/2015 08:57:04 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10025","MANHATTAN",40.7950187736213,-73.9715008677615,2015,8
"1416544","08/02/2015 08:47:42 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10025","MANHATTAN",40.7951421165433,-73.970821832956,2015,8
"1416558","08/02/2015 08:41:08 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10009","MANHATTAN",NA,NA,2015,8
"1416585","08/02/2015 08:30:00 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10016","MANHATTAN",40.7436806871045,-73.9830205181917,2015,8
"1416656","08/02/2015 07:53:51 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10021","MANHATTAN",40.7719285869901,-73.9577336627923,2015,8
"1417298","08/01/2015 11:58:40 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10002","MANHATTAN",40.7208993835845,-73.9841374577304,2015,8
"1417387","08/01/2015 11:26:59 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10009","MANHATTAN",40.7300009128498,-73.9835291344581,2015,8
"1417444","08/01/2015 11:12:38 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10028","MANHATTAN",40.7785535381538,-73.9554872086776,2015,8
"1418225","08/01/2015 06:47:19 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10034","MANHATTAN",40.8715374099399,-73.9256998304791,2015,8
"1418290","08/01/2015 06:27:14 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10065","MANHATTAN",40.762942771027,-73.9676484322313,2015,8
"1418317","08/01/2015 06:17:09 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10011","MANHATTAN",40.7391832859559,-74.0011583519073,2015,8
"1418387","08/01/2015 05:52:57 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10016","MANHATTAN",40.7469051713866,-73.9793673972071,2015,8
"1418478","08/01/2015 05:22:54 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10025","MANHATTAN",40.8002283203804,-73.9621474738201,2015,8
"1418620","08/01/2015 04:37:05 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10016","MANHATTAN",40.7445461078237,-73.972969612759,2015,8
"1419010","08/01/2015 02:42:14 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10013","MANHATTAN",40.7164868597077,-73.9968471812516,2015,8
"1419208","08/01/2015 01:54:34 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10023","MANHATTAN",40.7779733802431,-73.9821560439511,2015,8
"1419278","08/01/2015 01:35:21 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10038","MANHATTAN",40.7105771201138,-74.0084656860024,2015,8
"1419285","08/01/2015 01:33:41 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10007","MANHATTAN",40.711584404578,-74.0090357323848,2015,8
"1419778","08/01/2015 11:34:09 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10033","MANHATTAN",40.8505472113619,-73.9370550972815,2015,8
"1419866","08/01/2015 11:15:08 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10023","MANHATTAN",40.7748437892817,-73.978679965836,2015,8
"1420021","08/01/2015 10:32:11 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10036","MANHATTAN",40.7616074718061,-73.9903149392561,2015,8
"1420526","08/01/2015 08:13:05 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10026","MANHATTAN",40.799006052833,-73.9524107121778,2015,8
"1420633","08/01/2015 07:21:39 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10001","MANHATTAN",40.7494980509268,-73.9984119820727,2015,8
