"","Created.Date","Agency","Agency.Name","Complaint.Type","Descriptor","Incident.Zip","Borough","Latitude","Longitude","year","month"
"2620118","01/02/2015 10:04:48 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10021","MANHATTAN",40.7704335512456,-73.9601101670735,2015,1
"2620300","01/02/2015 07:41:17 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10021","MANHATTAN",40.7707463712789,-73.9598789215526,2015,1
"2620568","01/02/2015 05:35:56 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10003","MANHATTAN",40.7344891297093,-73.9879085239885,2015,1
"2620802","01/02/2015 04:07:21 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10035","MANHATTAN",40.8057295626066,-73.9385423529129,2015,1
"2621187","01/02/2015 02:08:23 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10003","MANHATTAN",40.7341930900441,-73.992548854974,2015,1
"2621322","01/02/2015 01:25:27 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10018","MANHATTAN",40.7537160121337,-73.987067662419,2015,1
"2621601","01/02/2015 12:00:45 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10001","MANHATTAN",40.7454217558628,-73.9909668961864,2015,1
"2621789","01/02/2015 11:08:13 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10027","MANHATTAN",40.8145794363796,-73.9590866125382,2015,1
"2622408","01/02/2015 07:42:56 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10011","MANHATTAN",40.739336716237,-73.9919456466846,2015,1
"2624934","01/01/2015 08:27:07 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10003","MANHATTAN",40.7356775015283,-73.9869340449025,2015,1
"2625003","01/01/2015 07:20:14 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10001","MANHATTAN",40.7506617837374,-74.0034323441616,2015,1
"2625331","01/01/2015 02:41:54 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10003","MANHATTAN",40.7356775015283,-73.9869340449025,2015,1
"2625953","01/01/2015 04:29:10 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10003","MANHATTAN",40.7324272038655,-73.9830306021449,2015,1
